,class_labels,image_name,bar_stool,bookcase,chandelier,dining_chair,market_umbrella,night_stands,ottoman,sconces,table_lamp,vases,location
12,bar_stool,8cb66da2-b4fb-4d88-b8a1-fefe8b5088e7.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/8cb66da2-b4fb-4d88-b8a1-fefe8b5088e7.jpg
13,bar_stool,c4475854-c629-4490-a5b8-7b958565fd95.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/c4475854-c629-4490-a5b8-7b958565fd95.jpg
14,bar_stool,6c1277ba-d901-45b4-bbf5-afd6aee0d83e.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/6c1277ba-d901-45b4-bbf5-afd6aee0d83e.jpg
15,bar_stool,368610d2-47fb-4ee1-bc7e-cdd885b6ab0b.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/368610d2-47fb-4ee1-bc7e-cdd885b6ab0b.jpg
16,bar_stool,e9000e03-85f5-46f0-9880-86a4b2ddef96.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/e9000e03-85f5-46f0-9880-86a4b2ddef96.jpg
17,bar_stool,e63dca16-ed3c-4b4e-b5a9-f4ed27b74ee1.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/e63dca16-ed3c-4b4e-b5a9-f4ed27b74ee1.jpg
20,bar_stool,a50c6892-5390-49a5-a311-af7f1397eede.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/a50c6892-5390-49a5-a311-af7f1397eede.jpg
22,bar_stool,b045b9ac-30ed-4037-b144-fadc0915f4c8.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/b045b9ac-30ed-4037-b144-fadc0915f4c8.jpg
23,bar_stool,2af11ecd-7cfa-474f-acd8-ebb91414445e.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/2af11ecd-7cfa-474f-acd8-ebb91414445e.jpg
25,bar_stool,9a3c3667-2863-4670-87f5-74e1b7c9681a.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/9a3c3667-2863-4670-87f5-74e1b7c9681a.jpg
26,bar_stool,49f6765d-67ef-4dc1-a3ad-0fc4863aa9f0.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/49f6765d-67ef-4dc1-a3ad-0fc4863aa9f0.jpg
27,bar_stool,45cf943f-5fc3-4fe5-a227-2c78caa41acb.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/45cf943f-5fc3-4fe5-a227-2c78caa41acb.jpg
28,bar_stool,67ea78cd-957c-4175-b5ba-bacb17b7473c.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/67ea78cd-957c-4175-b5ba-bacb17b7473c.jpg
29,bar_stool,8c84f389-105c-4991-8b5d-c29a672373c6.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/8c84f389-105c-4991-8b5d-c29a672373c6.jpg
30,bar_stool,0f59afb7-b1a6-4037-97e2-4af881064c40.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/0f59afb7-b1a6-4037-97e2-4af881064c40.jpg
31,bar_stool,7f0825c4-e9c5-4b4b-ae59-ac51b130efe8.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/7f0825c4-e9c5-4b4b-ae59-ac51b130efe8.jpg
32,bar_stool,d928abc5-a03b-4ccb-ad68-dec0d6cba047.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/d928abc5-a03b-4ccb-ad68-dec0d6cba047.jpg
33,bar_stool,8021e4c6-5649-4b56-be74-6631b6ff823c.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/8021e4c6-5649-4b56-be74-6631b6ff823c.jpg
34,bar_stool,3feb8375-95b2-4933-830f-8b554519e22f.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/3feb8375-95b2-4933-830f-8b554519e22f.jpg
35,bar_stool,65611ae6-4f3f-4d58-8d30-8dbe30e9467e.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/65611ae6-4f3f-4d58-8d30-8dbe30e9467e.jpg
36,bar_stool,2b36e78d-1044-4bf1-baab-d5e007c7b521.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/2b36e78d-1044-4bf1-baab-d5e007c7b521.jpg
37,bar_stool,65b12ffb-6603-4deb-9d86-0a2104844a63.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/65b12ffb-6603-4deb-9d86-0a2104844a63.jpg
38,bar_stool,4bb2e18e-c167-4e47-a4f7-c560c21b8a0f.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/4bb2e18e-c167-4e47-a4f7-c560c21b8a0f.jpg
39,bar_stool,c03b6187-0b91-4005-b597-606b64c8e897.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/c03b6187-0b91-4005-b597-606b64c8e897.jpg
41,bar_stool,793fef50-c88a-4882-b0df-dfab021f8902.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/793fef50-c88a-4882-b0df-dfab021f8902.jpg
42,bar_stool,434e09ee-626d-45e7-b327-74dbc5274a62.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/434e09ee-626d-45e7-b327-74dbc5274a62.jpg
43,bar_stool,1dec459d-4ac9-4281-81db-ac4f54d6a189.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/1dec459d-4ac9-4281-81db-ac4f54d6a189.jpg
44,bar_stool,d74948ce-f1d0-47f6-9257-0502a77e6bc5.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/d74948ce-f1d0-47f6-9257-0502a77e6bc5.jpg
45,bar_stool,a562b22b-63d4-49af-8fdf-c14db3e6cef8.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/a562b22b-63d4-49af-8fdf-c14db3e6cef8.jpg
46,bar_stool,920af5b3-dd11-4557-b25a-8d077c715943.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/920af5b3-dd11-4557-b25a-8d077c715943.jpg
47,bar_stool,d66a03e2-9e84-4bd6-ba4d-0512a966c6ba.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/d66a03e2-9e84-4bd6-ba4d-0512a966c6ba.jpg
48,bar_stool,c89f04e7-85ec-480f-aac4-3f217e79853a.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/c89f04e7-85ec-480f-aac4-3f217e79853a.jpg
49,bar_stool,82780605-5d51-4485-b7ce-ac8b2021c332.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/82780605-5d51-4485-b7ce-ac8b2021c332.jpg
50,bar_stool,eef23ecd-eadf-4e01-9b34-a39eb6c5e1ec11.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/eef23ecd-eadf-4e01-9b34-a39eb6c5e1ec11.jpg
51,bar_stool,7141b5b8-b85d-4b81-9150-a1ddc67ad943.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/7141b5b8-b85d-4b81-9150-a1ddc67ad943.jpg
52,bar_stool,359591b9-f1b8-44c8-9ad0-a6fd88755026.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/359591b9-f1b8-44c8-9ad0-a6fd88755026.jpg
53,bar_stool,59f8fd79-bc49-481a-b49b-ecbe9c7c7f26.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/59f8fd79-bc49-481a-b49b-ecbe9c7c7f26.jpg
56,bar_stool,3629c983-0604-404f-b956-5c300fffb2fe.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/3629c983-0604-404f-b956-5c300fffb2fe.jpg
57,bar_stool,8130d911-9cc2-463c-bd5d-2887d470c6cf.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/8130d911-9cc2-463c-bd5d-2887d470c6cf.jpg
58,bar_stool,3d3cfefd-ab52-406c-9ba7-14dbfcedfa93.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/3d3cfefd-ab52-406c-9ba7-14dbfcedfa93.jpg
59,bar_stool,031d856c-fa7e-4cf6-8e81-f2fc3c040bde.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/031d856c-fa7e-4cf6-8e81-f2fc3c040bde.jpg
60,bar_stool,e451c533-094b-4bed-911d-b65a85315f30.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/e451c533-094b-4bed-911d-b65a85315f30.jpg
61,bar_stool,9ad29510-5132-4a95-aacb-0ea5d82cf256.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/9ad29510-5132-4a95-aacb-0ea5d82cf256.jpg
62,bar_stool,c321abdb-21a4-4c48-a0ef-1da5d9b14559.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/c321abdb-21a4-4c48-a0ef-1da5d9b14559.jpg
63,bar_stool,eef23ecd-eadf-4e01-9b34-a39eb6c5e1ec.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/eef23ecd-eadf-4e01-9b34-a39eb6c5e1ec.jpg
64,bar_stool,926e2f40-d62c-413a-91da-f6767d4c5957.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/926e2f40-d62c-413a-91da-f6767d4c5957.jpg
65,bar_stool,1818af7b-6e7c-4af1-8841-e7ba5287d855.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/1818af7b-6e7c-4af1-8841-e7ba5287d855.jpg
66,bar_stool,5d08a743-26c2-42e1-8196-95b2155bc439.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/5d08a743-26c2-42e1-8196-95b2155bc439.jpg
67,bar_stool,0ed71b00-250a-480e-8e9a-e6ae3adccc3d.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/0ed71b00-250a-480e-8e9a-e6ae3adccc3d.jpg
69,bar_stool,5f4ce23c-f613-4a40-8fc9-3a159f0b6414.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/5f4ce23c-f613-4a40-8fc9-3a159f0b6414.jpg
70,bar_stool,1104e249-9449-4245-8d06-d4f8b6b5878b.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/1104e249-9449-4245-8d06-d4f8b6b5878b.jpg
71,bar_stool,311ed0f1-9c09-4f2d-b8a7-b6cefa214f5c.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/311ed0f1-9c09-4f2d-b8a7-b6cefa214f5c.jpg
72,bar_stool,8e203d32-f8f6-4713-8b99-9d33787b1f26.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/8e203d32-f8f6-4713-8b99-9d33787b1f26.jpg
73,bar_stool,aa19155c-d644-46a3-8c8e-c171b284c882.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/aa19155c-d644-46a3-8c8e-c171b284c882.jpg
74,bar_stool,76dda4e7-4a6a-4a05-8bf0-f1d6eb1a7735.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/76dda4e7-4a6a-4a05-8bf0-f1d6eb1a7735.jpg
75,bar_stool,2520ad38-bb74-4ec9-bad7-df144da574c4.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/2520ad38-bb74-4ec9-bad7-df144da574c4.jpg
76,bar_stool,cfd38704-4f90-4567-a827-dcf9275712fe.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/cfd38704-4f90-4567-a827-dcf9275712fe.jpg
77,bar_stool,3a8c85bc-1715-468e-932b-62320f9b2a40.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/3a8c85bc-1715-468e-932b-62320f9b2a40.jpg
78,bar_stool,ade6c2bf-3ff2-4187-8efc-0b9243cb8050.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/ade6c2bf-3ff2-4187-8efc-0b9243cb8050.jpg
81,bar_stool,4d18bd83-b5f6-4f27-ac50-724bc6ecb282.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/4d18bd83-b5f6-4f27-ac50-724bc6ecb282.jpg
82,bar_stool,f2fc307b-e263-4a3f-83b3-c20c32babebb.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/f2fc307b-e263-4a3f-83b3-c20c32babebb.jpg
83,bar_stool,97efb4a3-7033-4de1-88cd-8a4059c923de.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/97efb4a3-7033-4de1-88cd-8a4059c923de.jpg
84,bar_stool,d8edbd40-33ed-42c4-92c5-07f208b9f33d.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/d8edbd40-33ed-42c4-92c5-07f208b9f33d.jpg
85,bar_stool,92fc5d99-2372-44d9-96d9-0aa231bc78c0.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/92fc5d99-2372-44d9-96d9-0aa231bc78c0.jpg
87,bar_stool,13926ffc-a7d3-49f1-8bf7-f0112270e841.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/13926ffc-a7d3-49f1-8bf7-f0112270e841.jpg
88,bar_stool,bec9b3ba-f9d6-4db3-8703-a919d2633a4a.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/bec9b3ba-f9d6-4db3-8703-a919d2633a4a.jpg
89,bar_stool,f6545cc0-dbde-4caa-853b-67254b49113f.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/f6545cc0-dbde-4caa-853b-67254b49113f.jpg
90,bar_stool,45bd93e6-6ab3-4e26-80b1-ea11161d6859.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/45bd93e6-6ab3-4e26-80b1-ea11161d6859.jpg
91,bar_stool,fc7942ec-109b-4648-93e5-4c417da8377d.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/fc7942ec-109b-4648-93e5-4c417da8377d.jpg
92,bar_stool,1a5202b3-1941-4ac1-8c72-477c33ce4ea9.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/1a5202b3-1941-4ac1-8c72-477c33ce4ea9.jpg
94,bar_stool,e0cdf634-069a-4de9-8e6c-71c5d3ab172b.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/e0cdf634-069a-4de9-8e6c-71c5d3ab172b.jpg
95,bar_stool,b2178c65-7b65-4fe9-91c9-fdd3a752f32f.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/b2178c65-7b65-4fe9-91c9-fdd3a752f32f.jpg
96,bar_stool,4003af7f-11ff-4b74-bff5-a603ccf0e203.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/4003af7f-11ff-4b74-bff5-a603ccf0e203.jpg
97,bar_stool,3e65a428-c757-47b7-8233-444e3ee78514.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/3e65a428-c757-47b7-8233-444e3ee78514.jpg
99,bar_stool,63dc4e13-55ed-46b1-bbca-2a7d068be46b.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/63dc4e13-55ed-46b1-bbca-2a7d068be46b.jpg
101,bar_stool,46af5999-892e-41df-b9fe-759929e0ea8f.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/46af5999-892e-41df-b9fe-759929e0ea8f.jpg
103,bar_stool,f8625e28-17d2-4c0b-a14e-390e192e6ce3.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/f8625e28-17d2-4c0b-a14e-390e192e6ce3.jpg
104,bar_stool,1806d7b8-7699-4ce0-8c74-9c6207656fe5.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/1806d7b8-7699-4ce0-8c74-9c6207656fe5.jpg
105,bar_stool,b02caad4-76bb-453f-885b-23b56ca862c8.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/b02caad4-76bb-453f-885b-23b56ca862c8.jpg
108,bar_stool,f8889145-9158-4b1b-81f8-991e9625641c.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/f8889145-9158-4b1b-81f8-991e9625641c.jpg
109,bar_stool,19806774-397a-4d33-9ceb-c7c136432900.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/19806774-397a-4d33-9ceb-c7c136432900.jpg
111,bar_stool,5d0e4b61-f2dc-4246-a6e9-418f83d1e34a.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/5d0e4b61-f2dc-4246-a6e9-418f83d1e34a.jpg
114,bar_stool,fde302fe-b13a-4aa4-a2a7-ca2972ef3140.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/fde302fe-b13a-4aa4-a2a7-ca2972ef3140.jpg
115,bar_stool,b09cbbc4-9414-4672-86dd-de567d50924a.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/b09cbbc4-9414-4672-86dd-de567d50924a.jpg
116,bar_stool,48bfc861-16e7-4524-a394-5f1291f0e26d.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/48bfc861-16e7-4524-a394-5f1291f0e26d.jpg
117,bar_stool,556e4469-ddaf-473d-820f-e7e0c47ed7f8.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/556e4469-ddaf-473d-820f-e7e0c47ed7f8.jpg
118,bar_stool,5cd0453f-876d-4b8f-8ae2-756d2d9dacac.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/5cd0453f-876d-4b8f-8ae2-756d2d9dacac.jpg
119,bar_stool,437cbec5-aaf5-48c8-87d2-dd19a3171455.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/437cbec5-aaf5-48c8-87d2-dd19a3171455.jpg
120,bar_stool,99c5d9bd-24d4-4a6c-8938-55c596d61e20.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/99c5d9bd-24d4-4a6c-8938-55c596d61e20.jpg
121,bar_stool,f017f57b-9936-42da-b5f5-5b3915305fa6.jpg,1,0,0,0,0,0,0,0,0,0,/Users/yachnasharma/Downloads/case_study_visual_intelligence/VIntel/data/home_depot_products/bar_stool/f017f57b-9936-42da-b5f5-5b3915305fa6.jpg
